CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES
C10215,7201.736985,1,987.1
C10216,6467.885013,1,1464.14
C10217,64.080909,0.454545,927
C10218,5635.860679,1,393.62
C10219,3670.50596,1,965.5
C10220,2458.376257,0.818182,0
C10221,768.004936,1,336.41
C10222,75.647479,0.727273,540
C10223,2.433254,0.181818,36
C10224,1121.730896,1,878.52
C10226,7.56809,0.545455,144.26
C10227,2053.441598,1,493.85
C10228,2422.311938,1,4490.69
C10229,9047.621884,1,11188.62
C10230,3061.213971,1,1829.2
C10231,41.642389,0.857143,75.99
C10232,5431.622968,1,1824.16
C10233,6571.484039,1,9325.22
C10234,28.461629,1,100
C10235,4178.625215,1,1431.89
C10236,3019.019487,1,2260.41
C10237,1.045584,0.333333,0
C10238,2723.369217,0.909091,10410.49
C10239,1070.999446,1,990.7
C10240,279.608696,1,3034.92
C10241,1255.901821,1,1038.81
C10242,2229.857287,1,45.65
C10243,2363.489077,1,2641.98
C10244,4014.388265,1,1189.52
C10245,7623.224897,1,300
C10246,3421.571922,1,126.69
C10247,48.898611,0.545455,247.09
C10248,1874.716289,1,301.1
C10249,3215.511032,0.818182,1112.2
C10250,237.235398,0.636364,2410.07
C10251,1272.927288,1,5350.19
C10252,558.476701,1,630.03
C10253,2814.207626,1,3197.24
C10254,8.061012,0.363636,133
C10255,435.862142,1,1646.16
C10256,6.390383,1,79.66
C10257,9612.21512,1,319.92
C10258,7938.559134,1,3677.52
C10259,2344.478291,1,1041.63
C10260,996.48222,1,675.96
C10261,19.508047,1,193.14
C10262,185.640313,1,1703.23
C10263,5335.302925,1,0
C10265,22.189283,0.363636,234.16
C10266,5.871769,0.818182,29.68
C10267,1049.496471,1,1322.67
C10269,5570.190127,1,1607.88
C10270,1668.591831,1,0
C10271,2224.590946,0.818182,3183
C10272,2903.781184,1,3014.23
C10273,2041.480046,1,7323.38
C10274,7755.698607,1,8533.54
C10275,614.263149,0.727273,408.93
C10276,8097.334733,1,3999.92
C10277,1082.33027,1,2980.46
C10278,2734.66412,1,560.73
C10279,80.708806,1,569.9
C10280,2554.525229,1,6186.77
C10281,535.947221,1,4550.81
C10282,3905.365959,1,150.8
C10283,156.278339,1,1385.1
C10284,5131.319584,1,32539.78
C10285,5265.763713,1,410.24
C10286,2.564117,0.181818,47.95
C10287,1873.084577,1,126.57
C10288,32.124999,0.272727,380.89
C10289,1473.495809,1,414
C10290,1504.82705,1,2010
C10291,7645.108427,1,4693.15
C10292,1129.33758,1,498.96
C10293,668.956687,1,224.2
C10294,2302.184366,1,2856.57
C10295,272.711518,0.818182,0
C10296,4246.430225,1,0
C10297,2420.761135,1,0
C10298,2935.324966,1,409.63
C10299,83.148283,0.636364,843.34
C10300,5469.851311,1,0
C10301,280.142117,1,2236.49
C10302,5790.930626,1,464.51
C10303,3605.714046,1,1779
C10304,3992.261885,1,0
C10305,41.833264,1,456.36
C10306,635.090434,0.818182,5758.71
C10307,1521.1681,1,245.98
C10308,5547.092593,1,0
C10309,2503.107213,1,733.9
C10310,191.450711,1,1641.07
C10311,3621.70204,1,674.73
C10312,2762.479434,1,2702.47
C10313,4338.606862,1,0
C10314,388.873921,0.727273,1579.15
C10315,9261.310686,1,0
C10316,208.131845,1,2161.38
C10317,169.088238,1,1482.19
C10318,133.911556,1,1446.05
C10319,1613.34907,0.909091,0
C10320,566.908563,1,397.06
C10321,53.208422,1,498.17
C10322,1329.967543,1,2009.12
C10323,515.904786,1,5359.02
C10324,927.041961,1,0
C10325,1872.767651,1,0
C10326,185.396312,1,0
C10327,4823.822993,0.857143,0
C10328,994.105777,1,126.2
C10329,40.089221,1,225
C10330,0.478714,0.090909,734.97
C10331,4732.37354,1,14.95
C10332,9206.811696,1,874.98
C10333,6719.376505,1,0
C10334,2233.074041,1,445.2
C10335,1867.649838,1,0
C10336,57.842746,1,689.34
C10337,4194.033835,0.727273,2006.87
C10338,2459.862339,1,678
C10339,850.630114,1,0.05
C10340,353.198215,1,3085.69
C10341,2669.160638,1,0
C10342,92.440743,0.909091,1080
C10343,706.675991,1,2721.16
C10344,361.319366,1,3095.96
C10345,2324.086254,0.909091,0
C10346,2922.487907,1,71.07
C10347,98.364739,0.181818,65
C10348,498.208616,1,4786.61
C10349,16.93339,0.454545,174.42
C10350,3355.631092,1,242.88
C10351,907.982017,1,216.94
C10352,1132.386178,0.454545,2246.3
C10353,1254.6691,1,361.73
C10354,80.336636,0.6,330
C10355,260.838885,1,2854.11
C10356,17.356961,0.454545,390
C10357,1897.672025,1,422.18
C10358,1032.241153,1,1005.52
C10359,3536.601227,1,2132.93
C10360,21.580264,0.909091,284.72
C10361,4211.539631,1,0
C10362,1732.715258,1,3244.16
C10364,8939.461145,1,2490.17
C10365,36.567901,0.090909,1098.31
C10366,41.754778,0.181818,636.15
C10367,1937.246177,1,3018.93
C10368,99.955082,1,1222.97
C10369,5135.604593,1,110.18
C10370,214.896542,0.636364,0
C10371,1543.287931,1,0
C10372,601.92037,1,983.77
C10373,1261.05733,1,0
C10374,85.285023,0.75,423.24
C10375,1903.688611,1,6079.5
C10376,813.068705,1,439.38
C10377,1279.325142,1,1207.25
C10378,237.669312,1,259.13
C10379,5747.761139,1,1627.69
C10380,7760.940543,1,0
C10381,6388.108487,1,0
C10382,426.372628,1,5749.96
C10383,8806.866629,1,1490.94
C10384,282.934373,0.181818,0
C10385,1128.229387,1,5068.88
C10386,2045.541408,1,1067.28
C10387,8.520292,0.545455,64.12
C10388,11278.95243,1,6855.59
C10389,143.443832,0.636364,1631
C10390,241.223955,0.909091,180.91
C10391,1528.571561,1,0
C10392,12474.72954,1,136.88
C10393,566.147105,1,0
C10395,1077.606225,0.727273,343.21
C10396,1.838084,0.272727,16.5
C10397,507.144348,1,5708.18
C10398,816.82453,0.3,42.3
C10399,1526.506915,1,46.67
C10400,7957.017218,1,0
C10402,79.189929,1,699.12
C10403,497.908027,1,245.39
C10404,681.95925,1,98
C10405,1535.248256,1,857.36
C10406,1508.513765,0.818182,2747.12
C10407,11209.37076,1,11147.33
C10408,201.3504,1,600
C10409,2502.264409,1,0
C10410,4543.789386,1,255.12
C10411,918.342234,1,1221.53
C10412,5066.744231,1,0
C10413,2259.431829,1,780.64
C10414,437.789873,1,1532.1
C10415,2025.162877,1,778.33
C10416,3770.560441,0.875,964.06
C10417,140.730723,1,1667.13
C10419,5523.999416,1,0
C10420,3298.692478,1,1088.83
C10421,150.699542,0.363636,648.64
C10422,1874.843394,1,0
C10423,3024.629054,1,0
C10424,154.641707,0.363636,1897.92
C10425,1322.057239,1,0
C10426,62.287137,1,1263.29
C10427,16.581535,0.125,200
C10428,4664.023286,1,340
C10429,318.03434,1,1277.58
C10430,681.615445,1,4117.24
C10431,9335.31417,1,226.23
C10432,6404.955912,1,3970.8
C10433,133.405494,0.545455,1346.9
C10434,1403.597712,1,1050.83
C10435,469.878834,1,1364.99
C10436,1452.437463,1,0
C10437,3737.175713,1,0
C10438,6032.740391,1,7553.48
C10439,1692.755487,0.909091,570.16
C10441,3534.253718,1,566.28
C10442,654.574445,1,0
C10443,1648.721384,1,0
C10444,6822.877573,1,137.34
C10445,8647.057641,1,0
C10446,5055.582822,1,0
C10447,4245.550244,1,332.82
C10448,541.915572,0.636364,1377.72
C10449,4855.340797,1,0
C10450,981.643409,0.818182,0
C10451,7057.658848,1,360.7
C10452,4264.307261,1,222.64
C10453,4503.390811,1,1634.74
C10454,969.294446,1,0
C10455,4479.115547,1,759.15
C10456,37.753941,0.363636,243.36
C10457,7386.704481,0.9,0
C10458,1265.805627,0.818182,0
C10459,598.78776,1,519
C10460,3143.928913,1,3055.87
C10461,5580.530306,1,2470.4
C10462,576.635957,1,1671.6
C10463,51.818382,0.454545,903.36
C10466,1036.595935,1,0
C10467,21.12921,0.545455,229.5
C10468,1534.969344,1,1476.19
C10469,4994.04832,1,2506.89
C10470,4700.106602,1,2570
C10471,9601.071318,1,238.34
C10472,1207.888199,0.875,1342.36
C10473,87.442862,0.818182,786.32
C10474,123.394089,0.909091,1450.68
C10475,395.052994,1,1239.46
C10476,1715.459275,1,96.75
C10477,1492.039988,1,4106.15
C10478,636.669685,1,2022.38
C10480,223.772475,1,3654.08
C10481,1122.603377,1,883.73
C10482,805.131074,1,795.54
C10483,869.001444,1,0
C10484,4458.055159,1,0
C10485,2070.069187,1,1382.57
C10486,52.229659,1,565.5
C10487,6426.639738,1,4462.86
C10488,206.596865,0.363636,1726.67
C10489,5810.748774,1,217
C10490,3872.605467,1,0
C10491,2597.400267,1,1748.73
C10492,1481.43247,1,0
C10493,1135.53683,1,50.98
C10494,3430.981532,1,378.04
C10495,4102.599015,1,1483.12
C10497,150.952465,0.727273,6407.67
C10498,3170.537693,0.909091,0
C10501,911.281862,1,70
C10502,45.753138,0.545455,449.96
C10503,456.648662,1,3355.33
C10504,198.035504,0.545455,0
C10505,473.840442,0.727273,0
C10506,285.813075,1,3220.09
C10507,204.329381,1,6558.55
C10508,3690.177649,1,0
C10509,327.445978,1,4305.05
C10510,6856.045926,1,262.1
C10511,155.644239,0.727273,1626.83
C10512,4263.008734,1,3522.57
C10513,10249.71178,1,0
C10514,813.185305,1,8194.05
C10515,911.893997,1,1604.8
C10516,3563.23692,1,709.9
C10517,12478.17286,1,174
C10518,2061.27937,1,0
C10519,1556.376158,1,0
C10520,126.207012,0.636364,913
C10521,2516.753364,1,606.62
C10522,1199.942209,1,1447.01
C10523,13479.28821,1,41050.4
C10524,80.062693,1,727.27
C10525,839.897907,1,1869.88
C10526,128.175207,0.818182,182.94
C10527,47.6368,0.727273,379.28
C10528,1529.206464,1,874.94
C10529,2643.343414,1,26402.39
C10530,2924.757622,1,0
C10532,5036.870531,1,1752.15
C10533,32.042424,0.909091,400.41
C10534,2549.128288,1,13771.63
C10535,3718.606699,1,1172.68
C10536,4914.325665,1,1653.6
C10537,1191.584153,1,4238.79
C10538,98.420888,1,907.37
C10539,1534.891604,1,0
C10540,675.117139,0.181818,0
C10542,43.42718,1,569.34
C10543,1874.601636,1,305.78
C10544,15258.2259,1,529.3
C10545,4497.213951,1,2001.19
C10546,986.149218,0.454545,0
C10547,257.997181,1,1020.47
C10548,4507.733288,1,4754.32
C10549,1117.635883,1,0
C10550,5083.397311,1,331.95
C10551,3649.559565,0.818182,1490
C10552,77.45581,1,558.28
C10553,1362.418281,1,1477.44
C10554,189.12074,0.909091,1051.1
C10555,2374.663583,1,2242.26
C10556,1112.070216,1,179.24
C10557,2569.379868,1,972.65
C10558,2883.906333,1,4620.34
C10559,71.046063,0.181818,1023.8
C10560,3366.051663,1,6344.3
C10561,7190.047748,1,1549.61
C10562,68.039722,0.454545,734.11
C10563,5066.461251,1,2274.21
C10564,2454.610005,1,1635.69
C10565,64.329876,0.272727,627.03
C10566,1284.63314,1,55.5
C10567,76.93561,0.833333,277
C10568,950.563525,0.909091,7479.95
C10569,5178.179489,1,3937.59
C10570,531.455619,1,6300.4
C10571,263.6992,1,1856.64
C10572,492.070146,0.8,4924.41
C10573,1034.660626,0.833333,1308.11
C10574,11547.52001,1,49039.57
C10575,8997.488544,1,4604.72
C10576,9149.4096,1,227.8
C10577,1296.922119,1,2327.49
C10578,1758.979585,0.818182,1199
C10579,194.493602,1,1174.76
C10580,3294.37955,1,0
C10581,5404.202992,1,469
C10582,5484.800476,1,0
C10583,181.463092,1,133.39
C10584,1311.732049,1,10700.63
C10585,542.218074,1,0
C10586,1029.101022,1,49.1
C10587,1202.975648,1,11313.77
C10588,1095.379426,1,0
C10589,4546.766836,1,3525.37
C10590,28.934197,0.909091,258.74
C10591,3457.086184,1,2448.6
C10592,23.290641,0.727273,293.99
C10593,9559.783145,1,709
C10594,2154.175363,1,1628.07
C10595,2627.184835,1,0
C10596,2689.586312,1,0
C10597,11.890862,0.090909,165
C10598,3452.538704,1,11681.64
C10599,1068.031748,0.727273,98.97
C10600,7295.920263,1,0
C10601,7975.19143,1,1142.15
C10602,1866.608592,1,1494.5
C10603,259.467265,0.909091,646.24
C10604,1298.191599,1,0
C10605,313.387813,1,3608.88
C10606,7088.358802,1,0
C10607,4458.045588,1,0
C10608,2690.771926,1,12465.21
C10609,15244.74865,1,7823.74
C10610,0.327199,0.454545,24.64
C10611,2492.726282,1,27957.68
C10612,47.424621,0.545455,372
C10613,4114.723127,1,1841.62
C10615,2450.031338,1,1678.07
C10616,8781.831676,1,11674.64
C10617,1642.024936,1,2094.38
C10618,2739.836747,0.909091,0
C10619,1946.447038,1,411.38
C10620,9.962695,0.545455,99.19
C10621,394.269079,0.363636,525
C10622,5935.917803,1,1956.06
C10623,266.588825,1,1750.51
C10624,917.732846,1,18.41
C10625,3183.529482,1,386.12
C10626,2071.736764,0.909091,0
C10627,6980.581442,1,0
C10628,724.261595,1,625.46
C10629,2469.665655,1,963.13
C10630,202.190447,0.545455,2011.81
C10631,6787.661776,1,99.5
C10632,107.298227,0.636364,1084.09
C10633,3946.876897,1,207
C10634,1246.393805,1,1757.47
C10635,7155.328723,1,3837.59
C10636,2147.939753,0.818182,117.57
C10637,32.612745,1,1223.41
C10638,5380.796813,1,1710.24
C10639,3419.661676,1,11.06
C10640,8900.194109,1,0
C10641,837.950585,1,8273.18
C10642,2113.098241,1,619.93
C10643,16.371699,0.3,190
C10644,3774.063585,1,7680.08
C10645,1088.031913,1,9734.63
C10646,2.175751,0.454545,0
C10647,5248.392421,1,8403.17
C10648,9.581344,1,118.6
C10649,3123.339488,1,11202.09
C10650,1670.928797,1,794.52
C10651,537.389322,0.9,1704.22
C10652,1803.955439,1,1044.43
C10653,2394.126386,1,3651.59
C10654,544.879717,1,6477.6
C10655,288.474257,1,1025.03
C10656,1434.097191,1,0
C10657,79.554406,0.636364,472.71
C10658,2134.513436,1,733.35
C10659,4925.502001,1,3050.72
C10660,62.32157,0.636364,601.35
C10661,1062.752143,1,0
C10662,5347.377116,0.545455,0
C10663,8.555864,1,0
C10665,164.649775,1,1764.86
C10666,299.765294,1,2352.2
C10667,3725.636832,1,0
C10668,306.877248,1,3877.85
C10669,14411.95798,1,5958.17
C10670,1759.969888,1,5969.33
C10671,1482.235539,1,14604.87
C10672,6014.806806,1,433.63
C10673,5619.157028,1,2790.76
C10674,365.12275,1,571.32
C10675,1728.079372,1,0
C10676,1043.249828,1,281.25
C10677,2571.925816,1,1701.9
C10678,7760.5254,1,14332.92
C10679,61.644247,0.363636,490.6
C10680,0,0,0
C10681,1724.2041,1,8371.19
C10682,558.989996,0.818182,4552.44
C10683,15.728894,0.272727,202
C10684,3808.073463,0.909091,6030.34
C10685,28.394518,0.181818,379.3
C10686,2515.968879,1,1877.24
C10688,408.069031,1,3660.97
C10689,975.165854,1,2281.56
C10690,879.190921,1,45.65
C10691,2331.38017,1,1919.66
C10692,27.20711,0.818182,685.08
C10693,1418.254924,1,362.13
C10694,1.979916,0.125,80
C10695,331.586253,1,3703.36
C10696,10359.45471,1,12650
C10697,2144.477682,1,228.35
C10698,2927.082849,0.9,0
C10699,654.747715,1,1969.24
C10700,1162.770552,1,533.36
C10701,4094.433899,1,0
C10702,278.142977,1,1901.94
C10703,5941.847384,1,0
C10704,983.339069,1,5601.54
C10705,820.05973,1,162.56
C10706,7025.757291,1,66.32
C10707,1.411754,0.2,19.9
C10708,5656.069801,1,362.36
C10709,2705.591995,1,818.02
C10710,235.294264,1,1286.2
C10711,3472.806962,1,1800
C10712,2892.138807,1,0
C10713,145.973232,0.818182,1131.08
C10714,1943.792266,1,83.35
C10715,2119.537904,1,342.07
C10716,233.395491,0.818182,2025
C10717,318.186198,1,3548.64
C10718,448.190189,1,1687.29
C10719,908.354652,1,231.35
C10720,546.844163,1,2427.26
C10721,763.327047,1,579.28
C10722,1495.801569,1,420.03
C10723,7006.751866,1,328.92
C10724,4414.952906,1,419.64
C10725,255.052529,1,3267.03
C10726,1167.045536,1,294.13
C10727,3063.017462,1,0
C10728,1546.216153,0.833333,0
C10729,999.392635,1,0
C10730,3386.99251,1,171.92
C10731,963.572006,1,2210.97
C10732,454.580913,1,1229.57
C10733,2572.508325,1,64
C10734,2596.59993,1,0
C10735,13763.47358,1,9670.84
C10736,1861.026633,1,7446.18
C10737,5422.456378,1,0
C10738,838.616485,1,375.57
C10739,446.735142,1,5228.36
C10740,88.823762,1,291.65
C10741,821.916526,0.857143,1386.4
C10742,3714.539663,1,1307.16
C10743,7811.234174,1,0
C10744,1024.761905,1,77.99
C10745,2386.932058,1,861.79
C10746,15.492415,1,65
C10747,2643.876192,0.818182,798.34
C10748,4881.822347,1,0
C10749,1855.212121,1,32.22
C10750,13774.74154,1,404.24
C10751,251.151609,0.363636,0
C10752,1355.180523,0.909091,8820.67
C10753,6713.551391,1,7590.08
C10754,2398.26262,1,0
C10755,1433.857464,1,1613.74
C10756,142.406825,1,1214.74
C10757,660.397749,1,776.89
C10758,4834.586867,1,0
C10759,2571.284657,1,0
C10760,492.916599,1,4371.82
C10761,2752.146656,1,1648.53
C10762,7715.659048,1,0
C10763,0.25571,0.090909,24
C10764,95.865855,0.363636,1123.58
C10765,1439.343061,0.909091,571.91
C10766,5603.045332,1,0
C10767,1.691842,1,0
C10768,83.279345,1,1080.11
C10769,1157.168369,1,0
C10770,1560.533094,0.777778,749.57
C10771,1575.508838,0.875,0
C10772,1544.979869,1,880.19
C10773,1350.286625,1,642.33
C10774,1261.488342,1,890.2
C10775,1274.851959,1,1798.24
C10776,1646.715644,1,2720.68
C10777,3121.267822,0.888889,4139.56
C10779,3406.473855,1,1140
C10780,4006.206157,1,169.28
C10781,915.424422,0.857143,0
C10782,4193.283047,1,183.7
C10783,10397.09989,1,0
C10784,2830.364475,1,1412.76
C10785,5499.895765,1,0
C10786,815.427615,1,1936.01
C10787,756.041971,0.875,2486.1
C10788,5271.415483,1,0
C10789,23.276656,0.636364,796.56
C10790,5639.464394,1,717.18
C10791,5308.90635,1,0
C10792,62.209376,0.090909,782.88
C10793,2052.32561,1,0
C10794,56.720267,0.818182,260
C10795,1121.068043,1,0
C10796,9470.18498,1,49.19
C10797,2388.503738,1,4021.29
C10798,1955.179305,1,503.45
C10799,432.915949,1,4430.17
C10800,2027.896903,1,933.5
C10801,1252.58309,1,1163.93
C10803,1822.43199,1,177.23
C10804,1557.750089,1,283.6
C10805,3879.064446,1,9796.28
C10806,708.509086,1,2109.61
C10807,2748.60877,1,0
C10808,4343.537475,1,1326.3
C10809,8646.143734,1,0
C10810,90.445498,0.454545,0
C10811,9164.724752,1,3407.69
C10812,298.592251,1,1804.09
C10813,88.242406,0.636364,758.31
C10814,14.731998,0.818182,121.5
C10815,5211.229218,1,0
C10816,835.007085,0.75,90.39
C10817,2302.479845,1,0
C10818,1782.997768,0.909091,0
C10819,2435.823938,1,749.3
C10820,10.096031,1,184.92
C10821,1524.409377,1,70
C10822,1819.529197,1,219.26
C10823,4.607593,0.181818,44.55
C10824,644.530629,1,268.68
C10825,147.180819,0.636364,0
C10826,197.555397,1,1876.8
C10827,1716.622291,1,455.76
C10828,26.680023,0.545455,520.5
C10829,5359.980872,1,0
C10830,772.54691,1,8519.02
C10831,83.477053,0.181818,0
C10832,2654.816967,1,0
C10833,81.762162,0.909091,777.04
C10834,1373.277423,0.818182,0
C10835,1773.445786,1,4504.25
C10836,227.07351,1,2370.01
C10837,155.924331,0.818182,517.14
C10838,4767.644535,1,806
C10839,2574.852985,1,578.66
C10840,3405.005439,1,8.4
C10841,3517.561446,1,173.69
C10843,1748.546186,1,74.98
C10844,4.503251,0.181818,60.24
C10845,2717.915641,1,1500
C10846,1841.359829,1,2280.58
C10847,1399.729932,1,0
C10848,674.817091,1,1152.83
C10849,2406.569238,1,0
C10850,285.308422,0.181818,0
C10852,1011.110679,1,186.11
C10853,1358.890643,1,89.9
C10854,1392.773202,1,221.61
C10855,487.584965,0.727273,4768.27
C10856,1892.439622,1,86.7
C10857,3957.419199,1,1162.63
C10858,920.968431,1,977.38
C10859,227.781773,1,1497.82
C10860,4270.148411,0.888889,363
C10861,4115.739163,1,0
C10862,1375.845223,1,0
C10863,1300.593766,1,0
C10864,1437.895562,1,350
C10865,1304.357015,1,1488.8
C10866,1372.725482,1,992.25
C10867,938.177781,1,1288.42
C10868,129.3741,1,1102.72
C10869,161.198861,1,536.68
C10870,825.977042,1,0
C10871,230.359954,1,2163.12
C10872,3616.993845,0.888889,0
C10873,8220.740014,1,5197.22
C10874,4438.521324,1,591.84
C10875,2210.404961,1,1790.64
C10876,2315.003636,1,0
C10877,1255.779743,1,385
C10878,62.596086,1,475
C10879,5280.649637,1,0
C10880,170.907823,0.909091,1366.3
C10881,1271.212003,0.909091,76.94
C10882,11083.32542,1,2126.7
C10883,992.599867,1,100
C10884,10131.00055,1,0
C10885,4419.30294,1,12551.95
C10886,2173.621597,1,200
C10887,9901.685569,1,2190.95
C10888,2320.309453,1,2896.05
C10889,910.072514,1,18.05
C10890,1374.460976,1,1990.81
C10891,0,0,199.88
C10892,268.493643,1,4917.48
C10893,1827.200326,1,1325.27
C10894,1029.66874,1,1448.59
C10895,993.533549,1,851.68
C10896,3150.679884,1,0
